id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
52611613,* Adorable home w/parking near great restaurants *,232967878,Diana,,NINTH WARD,42.65674,-73.79221,Entire home/apt,185,2,100,2024-01-21,3.52,19,82,42,
52615364,Unique one bedroom in the heart of downtown Albany,416465867,Chris,,THIRD WARD,42.65069,-73.75193,Entire home/apt,65,30,20,2022-03-27,0.70,1,103,0,
52619545,* Centrally located Eclectic vibe 2 bed w/parking,232967878,Diana,,THIRTEENTH WARD,42.67181,-73.79543,Entire home/apt,125,2,70,2024-01-01,2.44,19,87,28,
52691284,+ Perfect place to make memories with loved ones +,232967878,Diana,,TENTH WARD,42.66236,-73.79245,Entire home/apt,600,2,57,2024-01-21,2.01,19,0,18,
52836323,*Hidden gem w/in walking distance to Madison Ave *,232967878,Diana,,THIRTEENTH WARD,42.67131,-73.7921,Entire home/apt,145,1,56,2024-01-20,2.15,19,0,31,
52837196,★MODERN 1BR Apt w/ PRIVATE deck! W/D★,47625981,Linda,,FOURTH WARD,42.65812,-73.74837,Entire home/apt,116,1,58,2024-01-29,2.06,15,359,19,
52863776,Washington Parkside 1 Bedroom In 1800s Brownstone!,355777684,Lloyd,,SIXTH WARD,42.65826,-73.76944,Entire home/apt,119,1,145,2024-02-10,5.18,3,323,60,
52923647,Cozy 3BR House in Whitehall near DT Albany,428451585,Erwin,,EIGHTH WARD,42.64792,-73.79953,Entire home/apt,,3,0,,,1,364,0,
53115382,Cozy 1-bdrm apt with off street parking,207800855,Iris,,FIFTEENTH WARD,42.67004,-73.82367,Entire home/apt,88,2,27,2023-05-24,0.99,3,7,1,
53312101,* 1 bed near Times Union center & Egg w/parking *,232967878,Diana,,SECOND WARD,42.64369,-73.7581,Entire home/apt,96,1,41,2024-01-14,1.50,19,81,25,
53483727,Spacious Urban APT w/4BR & Office in Albany,433096110,Brian,,FOURTEENTH WARD,42.65824,-73.80114,Entire home/apt,196,1,100,2024-02-11,3.88,3,250,38,
53567589,Private Garden Apt in Downtown Albany|Pets Allowed,433096110,Brian,,SIXTH WARD,42.65204,-73.76655,Entire home/apt,99,1,174,2024-01-29,6.57,3,324,71,
